STATION,NAME,year,month,day,DAPR,DASF,MDPR,MDSF,PRCP,SN02,SN32,SNOW,SNWD,SX02,SX32,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT14,WT16,WT18
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,03,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1930,04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
